τριάριοι,triarii:0.455074092414
ἀνεπιεικής,circumspicientia:0.27680178894
ὁμοιοσχήμων,performo:0.473935858908
κῆπος,hortensis:0.499857584877,hortensius:0.487950470615
εὔλινος,quasillaria:0.535511331153
πλαγγόνιον,megalium:0.797360693597,glaucina:0.70774715906
μενοεικής,expletio:0.271847556635
ἐρέα,lanugino:0.896192976571,lanarius:0.832759733185
πόδαργος,monopodius:0.786553689237,anguipes:0.509400815872
σχεδόν,paene:0.30763096424
ὁμόλογος,pactio:0.174268205837
ξηραίνω,inaresco:0.633248084171,exsicco:0.599880552665
χρέμπτομαι,conspuo:0.51407016026
ὁμωνυμία,flexiloquus:0.298562234585
ἐλατός,holosphyratus:0.524749050093
ὁμογάστριος,uterinus:0.81240050078
ἀϊστόω,inaspectus:0.581602227087
ὁμέψιος,lusio:0.326448577191
ἐπασκέω,percolo:0.231248614232
ἐξόρμησις,herpes:0.355640128142
ἐρέω,requirito:0.443893815794
κατάνευσις,astipulatus:0.546099064733
μιξόθηλυς,subsimilis:0.51309994892
θερμάστρα,camino:0.546819836396
ἀρτεμής,columis:0.355844277102
ὑπόστεγος,doma:0.31217233047
ἔφηβος,puellus:0.243929482125
ὁμοπάτριος,indidem:0.476875946441
λεσβίς,atia:0.275819449758
ἀναρρέπω,musca:0.67178058008,superuolo:0.630573873806
ὑποφεύγω,retrocedo:0.314244944564
ἐπιφημίζω,nominito:0.363848267384
σίττα,tatae:0.584900867119,utrubi:0.49142425438
λάρος,larus:0.45170263056
δορυσσόητος,proeliaris:0.585007735544
καταριθμέω,enumero:0.716676971118,pernumero:0.65457719434
οὐραγέω,consequia:0.285965282467
ἐξερείδω,firmamen:0.526208334574
σύνειμι,occurro:0.230360752313
ὁμόχροια,coriago:0.237685247828
νεφελοκοκκυγιεύς,coccyx:0.57171095585,cuculus:0.520484352908
ἐπιθαρσέω,superinduo:0.301961219793
ὑπόπυος,caseatus:0.22898177526
φίλοικτος,illubricans:0.250933976894
σπιλώδης,saxetum:0.58879191182,petrosus:0.579850000629
καταλλάκτης,mensularius:0.498841590849
ἰονθάς,horripilo:0.440878574216
σπουδαιολογέω,rhyparographos:0.188642942731
δριμύλος,penetratio:0.506926696039
διαπορθέω,euasto:0.303472285071
ἐπιπάρειμι,munifico:0.394411883148
