συνεργός,adiutor,saluto
ἕλκω,traho,apprehendo
ἐκκλίνω,declino,inquiro
ἐπαγγέλλω,promitto,repromitto
ἄγγελος,angelus,dico2
καύχησις,gloria,gloriatio
ψευδαπόστολος,subdolus,pseudoapostoli
συνπαραλαβόντες,marcus,ministerium
καταβραβεύω,humilito,uolens
ἐφοράω,respicio,opprobrium
ῥάπισμα,alapa,minister
ἀνδρίζω,uiriliter,conforto
ἀόρατος,inuisibilis,creatura
αἴγυπτος,aegyptus,aegyptius
ἁδραμυντηνῷ,aristarchus,ascendo
κερματιστής,ouis,columba
περί,de2,tu
ωσπερ,muliero,nam
ταβερνῶν,ago,foris
μητρίς,mater,caput
βύσσινος,byssinus,purpura
γενεαλογία,quaestiono,genealogia
ἐπιβλέπω,respicio,benus
προέχω,praecello,nequaquam
εἶδος,species,abstineo
ὀφείλημα,debitum,inputo
καταξιόω,dignus,patior
οἰκτειρέω,misericordia,misereo
τήκω,fungor,sacerdotium
κιθαρίζω,citharizo,cithara
συγκοινωνέω,communico,redarguo
ῆν,appropinquo,mater
ἰσκαριώτην,scarioth,duodecim
ὑποφέρω,sustineo,patior
συλλήμψῃ,concipio,paries
βάπτισις,baptizo,aqua
κόπος,labor2,molestus
μακαρισμός,beatitudo,iustitia
ἅψις,contrecto,tango
κενοφωνία,deuito,oppositio
μάρμαρος,argentum,purpura
θέρος,iam,aestas
ὑψόω,exalto,humilio
ιούδᾳ,porrigo,scariotis
καταράομαι,maledico,benedico
ἐφευρετής,detractor,inuentor
ψευδομαρτυρέω,fallo,testimonium
ἐπεγείρω,concito,iracundia
βλασφημία,blasphemia,blasphemium
ὠδίνω,parturiens,dolus
κέρδος,lucrum,redarguo
ἐπιδύω,irasco,iracundia
σύρτις,incido2,fero
παραθαλάσσιος,nepthalim,zabulon
ἀγωγή,adsequor,dilectio
κυλλός,claudus,pedes
προακούω,ueritas,spes
στέγη,tectum,intro2
μαθθαῖον,mattheum,thomam
διαπρίω,disseco,strideo
κιννάμωμον,iumentum,oleum
δέω2,oportet,obsecro
ἀργυροκόπος,argentarius,quaestus
βῆμα,tribunal,sedeo
σεαυτοῦ,proximi,diligo
σωφρονισμός,dilectio,timor
σκήνωμα,tabernaculum,tres
ἐκπτύω,sperno,temptationem
προκαταρτίζω,auaritia,necessaria
ἄφοβος,sinis,timor
ἠδυνάσθη,abeo,indo
λάρυγξ,pateo,uenenum
